Word	FREQ
 3717
поток 305
процесс 303
рис 292
это 281
функции 280
процесса 257
ядра 255
система 250
window 241
тела 239
потока 235
dword 206
1 191
bool 182
т 174
животных 169
которые 167
функция 162
видов 155
null 149
код 145
2 144
i 144
могут 140
червей 140
которых 138
органы 128
0 127
тело 126
3 125
쐽 124
5 121
unicod 121
4 120
значение 120
объект 120
handl 115
см 115
часть 115
описатель 114
происходит 114
г 111
параметр 110
яйца 107
функцию 105
клетки 103
время 102
имеет 102
который 101
например 99
int 98
класс 98
потоков 98
также 95
жизни 94
обычно 94
приоритета 92
других 91
процессы 91
помощью 90
хозяина 89
6 88
if 87
личинки 87
времени 85
имеют 85
памяти 85
объекта 84
работать 84
развитие 83
ii 82
тип 82
человека 82
черви 81
две 80
системе 80
7 79
microsoft 79
л 79
клеток 78
лишь 78
процессов 78
части 78
процессе 77
моллюсков 76
ч 76
возвращает 75
развития 75
fals 73
нематод 73
несколько 73
флаг 73
б 72
позволяет 72
2000 71
виды 71
потоки 71
самки 71
этих 71
задания 70
завершения 69
затем 69
которая 69
полость 69
путем 69
системы 69
типа 68
форм 68
формы 68
кишечника 67
строки 67
являются 67
fok 66
адрес 66
c 65
ь 65
8 64
начинаем 64
образом 64
поскольку 64
растений 64
функций 64
клещей 63
новый 63
объектов 63
около 63
является 63
воды 62
некоторые 62
поэтому 62
яиц 62
normal 61
данных 61
ко 61
некоторых 61
ных 61
просто 61
98 60
createprocess 59
среди 59
10 58
9 58
животные 58
void 57
виде 57
которой 57
наиболее 57
очень 57
приложение 57
нужно 56
объекты 56
процессу 56
часто 56
значения 55
имеется 55
многие 55
структуры 55
ansi 54
блок 54
большинство 54
нематоды 54
приложения 54
15 53
именно 53
отверстие 53
приоритет 53
создать 53
число 53
доступ 52
е 52
кроме 52
11 51
библиотеки 51
моллюски 51
окно 51
ошибки 51
полости 51
случае 51
внутри 50
использовать 50
те 50
const 49
образ 49
пищи 49
разных 49
строку 49
выполнение 48
двух 48
другие 48
описателей 48
представителей 48
cc 47
вид 47
вызывает 47
кода 47
тыс 47
имеются 46
кишечнике 46
либо 46
паразиты 46
покровы 46
состоит 46
эта 46
выходят 45
должен 45
задании 45
наружу 45
однако 45
п 45
пары 45
цикл 45
hwnd 44
должны 44
половой 44
таким 44
файла 44
12 43
break 43
брюшной 43
го 43
д 43
момент 43
половые 43
рот 43
рыб 43
элемент 43
ка 42
м 42
одно 42
процессом 42
вызов 41
живут 41
ми 41
ные 41
строение 41
16 40
createthread 40
inlin 40
большинства 40
доступа 40
дочерний 40
кровь 40
личинок 40
описание 40
продолжение 40
ся 40
указывает 40
идентификатор 39
крови 39
организма 39
основном 39
работу 39
служат 39
создает 39
элементы 39
case 38
n 38
pctstr 38
задание 38
многих 38
можете 38
находятся 38
нематода 38
нервная 38
ние 38
образуются 38
одной 38
окна 38
окружения 38
операционной 38
пара 38
пока 38
таблица 38
чтения 38
клещи 37
конце 37
мм 37
особенно 37
приоритетом 37
простейших 37
счет 37
таблице 37
членистоногих 37
ки 36
которое 36
получает 36
раков 36
результате 36
счетчик 36
умолчанию 36
веществ 35
имя 35
каждый 35
класса 35
процессорное 35
собой 35
форму 35
s 34
unsign 34
которого 34
ограничения 34
одного 34
па 34
паразитов 34
программы 34
родительский 34
самок 34
самцы 34
стадии 34
хотя 34
версии 33
выделения 33
глаза 33
дает 33
двумя 33
др 33
каждой 33
кишечник 33
набор 33
ный 33
описателя 33
процессора 33
расположены 33
свой 33
теле 33
duplicatehandl 32
dwprocessid 32
вызовом 32
данного 32
данный 32
железы 32
нескольких 32
образуется 32
одна 32
переменной 32
раковины 32
символов 32
ткани 32
четыре 32
includ 31
pszname 31
глава 31
информацию 31
ния 31
нового 31
описатели 31
почве 31
проходит 31
размножаются 31
следует 31
сообщает 31
указатель 31
context 30
pvoid 30
буфер 30
ется 30
жабры 30
колонии 30
мелкие 30
ниже 30
паразита 30
параметре 30
питаются 30
попадают 30
процессорного 30
растения 30
сначала 30
структуру 30
такие 30
флаги 30
функцией 30
ядро 30
pvparam 29
базовые 29
главе 29
н 29
находится 29
ной 29
органов 29
развиваются 29
размножение 29
систему 29
стороне 29
та 29
этим 29
13 28
20 28
true 28
вместе 28
внимание 28
легко 28
ног 28
ноги 28
оплодотворение 28
первый 28
переменных 28
печени 28
потоку 28
почвы 28
представлена 28
различные 28
своего 28
таких 28
100 27
binherithandl 27
tiddata 27
будут 27
вызвать 27
вызывая 27
выполнения 27
движения 27
заканчивается 27
защиты 27
инфузории 27
которую 27
множество 27
нем 27
обмена 27
образуют 27
объекту 27
оно 27
особи 27
открываются 27
период 27
представители 27
приводит 27
программа 27
протоки 27
процессами 27
размножения 27
системой 27
список 27
структура 27
числе 27
ются 27
beginthreadex 26
defin 26
winapi 26
вместо 26
внешней 26
встречаются 26
далее 26
используется 26
отдел 26
ошибок 26
память 26
половая 26
приложений 26
работы 26
самцов 26
свое 26
след 26
стр 26
существует 26
течение 26
ткань 26
файл 26
флагов 26
числа 26
process 25
tchar 25
text 25
wwinmain 25
весьма 25
включает 25
губок 25
должна 25
дочернего 25
дочерние 25
личинка 25
морских 25
определяет 25
относится 25
отряд 25
половым 25
последний 25
процессам 25
процессах 25
раки 25
родительского 25
самым 25
